File	Word	Vowel Type	Vowel	Vowel Duration (msec)	POA	MOA	Consonant Duration (msec)	Burst Duration	f0	f1_onset	f1_mid	f2_onset	f2_mid
Bd_37	tader	1	a	84.06	D	VS_N	65.68	15.23	127.41	648.95	665.92	1331.18	1289.33
	tader	2	e	58.04	D	VS_N	65.68	15.23	149.32	441.77	448.20	1784.86	1864.41
Bd_38	moTamoti	1	O	91.40	R	VLS_N	40.29	9.24	142.89	282.46	405.09	924.97	865.93
	moTamoti	2	a	47.82	R	VLS_N	40.29	9.24	178.99	524.58	561.43	1286.80	1221.21
Bd_39	guTiye	1	u	57.86	R	VLS_N	62.88	23.07	139.51	313.23	297.46	900.32	875.20
	guTiye	2	i	61.97	R	VLS_N	62.88	23.07	156.02	286.75	314.43	2097.56	1525.97
Bd_40	jOgodish	1	o	46.73	D	VS_N	67.24	3.53	138.27	480.81	455.71	897.67	1039.64
	jOgodish	2	i	74.56	D	VS_N	67.24	3.53	203.86	351.83	351.83	1790.34	1028.77
Bd_41	odik	1	o	90.77	D	VS_N	77.09	4.31	130.64	407.59	377.31	699.81	818.22
	odik	2	i	61.30	D	VS_N	77.09	4.31	179.04	304.69	343.00	2187.80	2275.84
Bd_42	gopone	1	o	79.88	BL	VLS_N	97.97	8.32	125.10	346.86	375.02	963.10	843.24
	gopone	2	e	46.77	BL	VLS_N	97.97	8.32	149.50	383.27	433.39	812.55	956.01
Bd_44		1	 	5447.54			5555.01	5629.31	--undefined--	1000.30	794.35	2790.11	1364.69
		2		5647.04			5555.01	5629.31	164.99	1000.31	699.42	2792.05	1428.02
Bd_44	Okolponiyo	1	O	107.47	V	VLS_N	74.30	17.73	132.43	523.94	541.80	864.46	864.53
	Okolponiyo	2	o	73.79	V	VLS_N	74.30	17.73	139.40	437.98	543.34	898.61	1005.95
Bd_45	agam	1	a	83.10	V	VS_N	42.31	7.06	126.36	776.18	681.16	1364.48	1442.15
	agam	2	a	100.49	V	VS_N	42.31	7.06	157.47	451.88	556.37	1549.92	1494.95
Bd_45	kolkataye	1	a	65.30	D	VLS_N	77.44	6.15	152.98	484.51	584.33	1468.75	1422.20
