File	Word	V1	V2	POA	MOA	V1 Dur	V2 Dur	Consonant Duration	Burst Duration	Burst RMS	F0_V1	F1_onset_V1	F1_mid_V1	F2_onset_V1	F2_mid_V1	F0_V2	F1_onset_V2	F1_mid_V2	F2_onset_V2	F2_mid_V2
msm_104	shiddhanto	i	a	D	VAS	71.06	111.68	99.45	20.69	0.02	273.16	303.14	313.04	2376.19	2480.89	293.74	300.82	451.02	1838.55	1540.82
msm_112	amader	a	e	D	VS_N	81.24	83.27	54.59	7.47	0.02	237.12	656.54	818.20	1081.23	1349.81	296.01	471.14	492.64	2002.04	2296.14
msm_113	maliker	i	e	V	VLS_N	79.48	126.40	61.87	36.99	0.003	235.27	327.23	330.49	2268.64	2635.59	263.87	297.30	508.29	2487.81	2385.20
msm_115	chepe	e	e	BL	VLS_N	54.35	51.52	66.89	14.29	0.01	213.76	369.25	436.80	2195.71	2146.48	209.12	430.39	431.01	1864.14	2024.73
msm_117	kromagOto	O	o	D	VLS_N	87.47	99.90	92.55	8.64	0.006	200.71	549.21	643.28	1028.36	1036.22	243.46	480.35	501.34	1361.44	1002.39
msm_118	lekhake	a	e	V	VLS_N	52.46	52.81	54.96	21.84	0.004	243.33	997.28	887.40	1688.26	1696.02	263.45	369.58	522.45	2504.72	2330.56
msm_120	mOto	O	o	D	VLS_N	80.62	172.00	93.19	17.93	0.008	202.47	596.16	597.94	865.49	991.97	177.82	478.54	487.44	1185.91	952.49
msm_121	batash	a	a	D	VLS_N	85.08	149.72	86.61	6.27	0.002	164.12	554.56	870.98	1201.80	1347.79	134.04	777.44	951.49	1678.07	1570.29
msm_16	uddhar	u	a	D	VAS	85.32	147.99	111.54	17.72	0.03	243.10	438.64	374.52	788.88	734.03	260.30	611.95	1115.32	1795.90	2148.44
msm_17	uddhar	u	a	D	VAs	72.08	127.68	113.74	20.97	0.03	272.38	496.71	427.42	765.24	737.94	257.70	351.66	747.50	1748.36	1459.65
msm_2	age	a	e	V	VS_N	121.04	204.95	69.29	12.29	0.01	246.27	1100.49	1061.66	1701.64	1201.62	170.81	388.61	413.33	2133.42	2650.60
msm_28	briddho	i	o	D	VAS	65.37	223.25	145.97	47.71	0.003	320.66	344.62	341.29	2305.99	2497.86	163.73	1500.73	463.10	2605.85	969.34
msm_4	chhobiTa	i	a	R	VLS_N	65.25	84.07	38.20	11.98	0.007	301.02	320.81	312.91	1558.02	2389.46	328.47	439.87	685.99	1998.37	1470.70
msm_5	thake	a	e	V	VLS_N	61.56	145.60	83.84	26.05	0.007	221.46	1061.36	1006.65	1541.41	1492.48	295.14	454.56	552.00	2372.05	2499.61
msm_5	barite	i	e	D	VLS_N	67.97	63.40	64.66	16.28	0.006	252.35	416.85	308.49	2333.73	2778.78	315.30	368.24	556.15	2327.16	2029.42
msm_62	biddho	i	o	D	VAS	80.79	75.50	109.95	27.71	0.02	369.08	380.14	384.95	1680.77	2355.61	343.49	391.39	438.85	1567.50	1272.13
msm_69	joddha	o	a	D	VAS	57.92	219.99	118.76	19.97	0.007	302.56	530.61	589.32	1498.42	1258.07	169.40	881.71	921.86	1934.41	1477.94
msm_7	jake	a	e	V	VLS_N	98.17	98.94	72.88	23.87	0.008	213.82	496.33	1072.10	2064.71	1671.00	296.42	350.13	550.09	2581.48	2411.95
msm_72	joddha	o	a	D	VAS	70.90	208.19	103.63	25.08	0.03	441.89	532.36	735.59	1739.89	1288.69	193.71	1406.61	876.13	1932.41	1460.99
msm_8	Opekkha	O	e	BL	VLS_N	87.48	66.27	65.28	11.49	0.01	224.76	810.03	801.08	1091.98	1054.29	277.38	500.83	543.74	2007.65	2490.46
msm_80	ghushite	i	e	D	VLS_N	52.91	88.49	78.77	12.71	0.02	277.97	284.38	284.20	2315.83	2416.17	322.52	426.06	583.58	2177.44	2260.60
msm_80	kupokat	o	a	V	VLS_N	59.35	95.45	57.59	21.45	0.008	194.87	447.23	411.43	1784.05	815.38	264.89	591.56	803.83	1269.83	1414.41
msm_81	peshadar	a	a	D	VS_N	60.57	98.92	51.95	9.47	0.02	283.72	615.65	873.12	868.63	1542.37	300.73	713.77	868.31	1785.89	1594.07
msm_82	nObo	O	o	BL	VS_N	118.67	79.01	57.18	15.52	0.02	216.75	586.80	728.99	1447.10	1011.92	315.64	421.54	438.09	779.76	808.74
msm_82	bibahito	i	a	BL	VS_N	69.87	79.97	60.57	7.80	0.03	291.88	303.37	303.32	2064.70	2355.97	314.24	619.94	857.91	1532.81	1513.70
msm_85	barite	i	e	D	VLS_N	67.40	62.94	59.27	19.07	0.01	225.50	389.16	280.45	2490.09	2039.37	322.21	428.70	485.83	2237.82	2266.81
msm_88	eder	e	e	D	VS_N	118.18	101.14	48.05	12.50	0.02	248.73	428.09	488.36	2642.02	2550.01	349.05	404.97	553.32	2201.48	2447.66
